order_id,customer_id,order_date,delivery_date,product_category,order_value,payment_method,customer_segment,country,account_age_days,total_orders_lifetime,delivery_days,has_return,return_reason,days_to_return,refund_amount,refund_frequency_30d,is_fraud,fraud_type
ORD_0015909,CUST_01767,2023-09-07,2023-09-14,beauty,74.03,credit_card,budget,CA,2489,19,7,1,defective,18.0,67.53,2,0,
ORD_0000822,CUST_00956,2023-08-12,2023-08-16,electronics,264.41,debit_card,budget,US,1815,5,4,0,,,0.0,0,0,
ORD_0015119,CUST_01683,2023-04-03,2023-04-09,electronics,79.44,credit_card,budget,US,465,17,6,0,,,0.0,0,0,
ORD_0013467,CUST_01391,2023-08-13,2023-08-15,clothing,44.84,credit_card,budget,AU,3185,9,2,0,,,0.0,0,0,
ORD_0026498,CUST_01161,2022-10-31,2022-11-09,books,17.89,credit_card,regular,AU,2349,16,9,0,,,0.0,1,0,
ORD_0042112,CUST_01051,2024-01-19,2024-01-21,clothing,44.08,credit_card,regular,IN,2051,11,2,0,,,0.0,0,0,
ORD_0030189,CUST_01465,2022-07-20,2022-08-01,electronics,52.2,credit_card,regular,AU,792,13,12,0,,,0.0,1,0,
ORD_0037238,CUST_00963,2024-02-12,2024-02-17,clothing,68.29,credit_card,regular,IN,892,19,5,0,,,0.0,0,0,
ORD_0033110,CUST_00006,2024-12-28,2025-01-05,electronics,58.25,credit_card,budget,DE,1661,16,8,1,wrong_size,26.0,34.49,0,0,
ORD_0036481,CUST_00082,2023-08-19,2023-08-24,electronics,155.84,debit_card,regular,UK,1859,19,5,0,,,0.0,0,0,
ORD_0024149,CUST_01299,2024-02-06,2024-02-12,clothing,32.95,paypal,premium,FR,2578,13,6,0,,,0.0,2,0,
ORD_0005504,CUST_00718,2023-01-07,2023-01-19,clothing,40.81,paypal,regular,UK,844,14,12,0,,,0.0,1,0,
ORD_0003919,CUST_01097,2022-06-11,2022-06-14,clothing,98.04,credit_card,premium,IN,3601,6,3,0,,,0.0,1,0,
ORD_0038479,CUST_01867,2023-10-19,2023-10-24,sports,102.1,paypal,regular,US,754,14,5,0,,,0.0,0,0,
ORD_0021124,CUST_00279,2023-01-04,2023-01-13,clothing,50.96,apple_pay,premium,US,529,10,9,0,,,0.0,0,0,
ORD_0049718,CUST_01373,2022-10-03,2022-10-11,home,59.9,credit_card,regular,UK,2512,10,8,1,defective,24.0,40.94,0,0,
ORD_0042295,CUST_01223,2022-02-17,2022-03-01,home,181.42,debit_card,budget,IN,3009,15,12,1,changed_mind,21.0,123.88,0,0,
ORD_0047610,CUST_00961,2023-10-25,2023-10-29,clothing,119.33,credit_card,regular,UK,910,13,4,1,changed_mind,28.0,67.82,0,0,
ORD_0011077,CUST_01014,2023-07-08,2023-07-15,sports,115.08,credit_card,regular,US,913,13,7,0,,,0.0,0,0,
ORD_0041515,CUST_00614,2024-01-02,2024-01-03,sports,50.13,debit_card,regular,AU,1325,10,1,0,,,0.0,0,0,
ORD_0022063,CUST_00209,2022-08-29,2022-09-06,clothing,76.54,debit_card,premium,US,1946,7,8,1,not_as_described,16.0,49.42,0,0,
ORD_0009414,CUST_01421,2023-01-18,2023-01-29,home,135.75,debit_card,regular,US,80,10,11,0,,,0.0,0,0,
ORD_0038341,CUST_01193,2023-12-08,2023-12-20,home,32.52,apple_pay,vip,DE,1081,11,12,0,,,0.0,0,0,
ORD_0030264,CUST_00517,2024-05-25,2024-05-26,books,12.02,debit_card,budget,UK,3078,11,1,0,,,0.0,0,0,
ORD_0041253,CUST_01325,2022-06-24,2022-06-29,beauty,44.32,credit_card,budget,IN,2189,15,5,0,,,0.0,0,0,
ORD_0014645,CUST_00171,2023-10-19,2023-10-25,clothing,38.19,paypal,premium,UK,1134,11,6,0,,,0.0,1,0,
ORD_0026336,CUST_00618,2023-08-10,2023-08-22,beauty,38.84,paypal,regular,AU,1790,11,12,0,,,0.0,0,0,
ORD_0028103,CUST_00505,2022-02-26,2022-03-07,clothing,30.64,credit_card,budget,US,2769,16,9,0,,,0.0,0,0,
ORD_0017524,CUST_01052,2023-03-08,2023-03-19,clothing,67.4,credit_card,regular,IN,1599,21,11,0,,,0.0,0,0,
ORD_0024713,CUST_01666,2022-10-01,2022-10-12,electronics,52.25,credit_card,premium,UK,2691,11,11,0,,,0.0,0,0,
ORD_0040486,CUST_01000,2022-06-11,2022-06-23,sports,48.22,credit_card,premium,UK,142,15,12,0,,,0.0,0,0,
ORD_0003851,CUST_01693,2022-01-20,2022-01-26,electronics,146.39,credit_card,regular,UK,2228,11,6,0,,,0.0,2,0,
ORD_0040041,CUST_00035,2022-11-25,2022-12-03,beauty,31.32,debit_card,regular,US,1925,11,8,0,,,0.0,1,0,
ORD_0015268,CUST_01392,2023-11-08,2023-11-09,home,65.24,credit_card,budget,US,1704,7,1,0,,,0.0,1,0,
ORD_0049147,CUST_00117,2024-11-03,2024-11-06,beauty,17.51,apple_pay,regular,DE,2216,17,3,1,not_as_described,23.0,13.68,2,0,
ORD_0030002,CUST_01646,2024-04-10,2024-04-19,beauty,32.14,debit_card,budget,US,1044,17,9,0,,,0.0,1,0,
ORD_0045927,CUST_01818,2024-04-09,2024-04-14,electronics,151.52,credit_card,regular,US,1076,15,5,0,,,0.0,1,0,
ORD_0043825,CUST_00356,2022-02-25,2022-03-05,home,97.69,paypal,budget,UK,368,14,8,0,,,0.0,0,0,
ORD_0017241,CUST_00828,2024-04-16,2024-04-26,clothing,94.05,credit_card,regular,CA,1018,12,10,0,,,0.0,0,0,
ORD_0004893,CUST_01576,2022-04-02,2022-04-04,sports,169.8,paypal,regular,CA,2764,11,2,0,,,0.0,0,0,
ORD_0000726,CUST_01279,2022-05-08,2022-05-21,sports,27.18,debit_card,regular,US,1529,9,13,0,,,0.0,0,0,
ORD_0022950,CUST_00916,2022-05-27,2022-06-09,home,179.99,credit_card,budget,UK,746,9,13,0,,,0.0,1,0,
ORD_0034658,CUST_01924,2022-06-10,2022-06-18,electronics,182.6,credit_card,regular,DE,3429,14,8,0,,,0.0,0,0,
ORD_0037214,CUST_00910,2022-09-20,2022-09-29,clothing,37.22,paypal,budget,AU,494,14,9,0,,,0.0,0,0,
ORD_0020305,CUST_00013,2022-03-18,2022-03-31,beauty,14.12,paypal,premium,US,1186,10,13,0,,,0.0,0,0,
ORD_0015270,CUST_00868,2023-06-25,2023-07-01,electronics,247.34,credit_card,regular,UK,1811,13,6,1,changed_mind,19.0,146.15,0,0,
ORD_0022368,CUST_01222,2024-10-14,2024-10-18,clothing,65.25,credit_card,premium,DE,3088,8,4,1,wrong_size,28.0,43.91,0,0,
ORD_0042685,CUST_01604,2022-01-24,2022-01-31,home,42.49,credit_card,premium,US,1887,17,7,0,,,0.0,1,0,
ORD_0046735,CUST_01722,2022-03-14,2022-03-19,books,22.25,apple_pay,premium,DE,1246,14,5,1,wrong_size,17.0,12.13,0,0,
ORD_0011733,CUST_01259,2024-03-02,2024-03-09,electronics,338.77,credit_card,regular,IN,3058,7,7,1,wrong_size,25.0,175.54,1,0,
ORD_0018620,CUST_00246,2024-09-20,2024-09-26,electronics,29.63,paypal,regular,US,1198,12,6,0,,,0.0,0,0,
ORD_0048493,CUST_01649,2022-09-30,2022-10-11,home,57.35,credit_card,premium,FR,815,15,11,0,,,0.0,0,0,
ORD_0026804,CUST_00714,2024-06-01,2024-06-02,home,46.77,apple_pay,premium,US,3287,10,1,1,wrong_size,6.0,37.32,0,0,
ORD_0044306,CUST_01163,2024-12-24,2025-01-02,electronics,65.38,paypal,budget,US,3616,12,9,1,not_as_described,11.0,49.14,0,0,
ORD_0047523,CUST_01418,2024-03-19,2024-04-01,sports,58.39,credit_card,regular,CA,3102,10,13,1,gift_return,10.0,30.23,1,0,
ORD_0032208,CUST_00181,2022-01-08,2022-01-11,home,41.44,debit_card,budget,IN,542,14,3,1,not_as_described,27.0,36.03,1,0,
ORD_0002531,CUST_00456,2024-06-09,2024-06-16,clothing,64.73,paypal,premium,AU,1941,10,7,0,,,0.0,0,0,
ORD_0017747,CUST_00444,2024-04-23,2024-05-05,electronics,123.98,debit_card,vip,UK,723,14,12,0,,,0.0,0,0,
ORD_0008271,CUST_00208,2022-05-16,2022-05-22,electronics,183.14,credit_card,regular,IN,1074,12,6,1,not_as_described,21.0,160.91,2,0,
ORD_0015080,CUST_00976,2024-02-16,2024-02-29,sports,43.61,credit_card,premium,US,1219,11,13,0,,,0.0,2,0,
ORD_0013625,CUST_01521,2023-02-21,2023-03-05,home,51.36,debit_card,budget,UK,2873,11,12,0,,,0.0,0,0,
ORD_0030639,CUST_01223,2023-05-16,2023-05-19,electronics,70.7,credit_card,budget,IN,3009,15,3,0,,,0.0,2,0,
ORD_0030441,CUST_00833,2022-01-04,2022-01-06,clothing,56.33,debit_card,budget,FR,1781,10,2,0,,,0.0,0,0,
ORD_0036057,CUST_00364,2022-05-16,2022-05-18,books,14.42,credit_card,vip,US,1589,13,2,0,,,0.0,0,0,
ORD_0042652,CUST_01203,2024-10-30,2024-11-06,electronics,140.03,credit_card,regular,DE,215,10,7,1,changed_mind,25.0,108.62,0,0,
ORD_0036804,CUST_01668,2023-12-02,2023-12-09,clothing,39.18,debit_card,premium,US,258,15,7,0,,,0.0,0,0,
ORD_0048225,CUST_00946,2023-10-08,2023-10-11,electronics,750.91,credit_card,vip,IN,3542,10,3,1,not_as_described,7.0,666.42,0,0,
ORD_0029227,CUST_00545,2024-07-23,2024-07-31,beauty,27.4,paypal,premium,US,1433,14,8,0,,,0.0,1,0,
ORD_0005634,CUST_01727,2024-06-24,2024-06-29,home,21.13,paypal,regular,IN,78,15,5,0,,,0.0,0,0,
ORD_0005988,CUST_00275,2023-10-14,2023-10-15,clothing,21.75,credit_card,vip,CA,282,12,1,0,,,0.0,1,0,
ORD_0048064,CUST_01881,2023-08-30,2023-09-11,sports,70.33,paypal,vip,US,3507,7,12,0,,,0.0,0,0,
ORD_0001813,CUST_01120,2023-08-03,2023-08-11,electronics,212.5,credit_card,premium,UK,2673,12,8,0,,,0.0,0,0,
ORD_0027579,CUST_00737,2022-05-13,2022-05-26,electronics,189.84,paypal,regular,AU,314,13,13,1,gift_return,8.0,101.07,1,0,
ORD_0016824,CUST_01131,2023-12-05,2023-12-15,beauty,20.41,credit_card,premium,DE,3368,14,10,1,defective,15.0,15.17,0,0,
ORD_0003929,CUST_00281,2022-03-10,2022-03-18,home,44.03,credit_card,regular,UK,1643,10,8,0,,,0.0,0,0,
ORD_0037287,CUST_01583,2024-10-16,2024-10-24,electronics,86.98,crypto,regular,CA,2971,22,8,0,,,0.0,1,0,
ORD_0025046,CUST_00483,2022-01-24,2022-01-30,clothing,60.24,credit_card,regular,DE,1568,6,6,0,,,0.0,0,0,
ORD_0015728,CUST_00859,2023-04-06,2023-04-10,books,14.49,debit_card,premium,CA,2211,12,4,0,,,0.0,2,0,
ORD_0029601,CUST_01646,2022-04-20,2022-04-21,clothing,55.94,paypal,budget,US,1044,17,1,0,,,0.0,0,0,
ORD_0010431,CUST_00155,2023-08-10,2023-08-12,home,26.89,debit_card,premium,IN,667,14,2,1,wrong_size,10.0,21.4,1,0,
ORD_0025769,CUST_01142,2023-05-17,2023-05-23,electronics,96.24,paypal,budget,US,393,10,6,0,,,0.0,0,0,
ORD_0029104,CUST_00523,2024-01-09,2024-01-16,home,168.43,debit_card,regular,IN,2430,4,7,0,,,0.0,0,0,
ORD_0036538,CUST_01649,2022-12-25,2022-12-28,beauty,31.33,paypal,premium,FR,815,15,3,1,not_as_described,4.0,22.07,1,0,
ORD_0039329,CUST_01471,2023-09-08,2023-09-16,books,13.92,credit_card,budget,US,2365,7,8,0,,,0.0,0,0,
ORD_0035540,CUST_01897,2023-12-09,2023-12-18,beauty,23.73,credit_card,vip,DE,3032,13,9,1,changed_mind,20.0,22.59,0,0,
ORD_0028076,CUST_00614,2024-02-13,2024-02-19,home,31.31,paypal,regular,AU,1325,10,6,1,not_as_described,18.0,22.81,1,0,
ORD_0017841,CUST_00126,2022-08-16,2022-08-29,electronics,120.96,crypto,regular,UK,2765,18,13,1,wrong_size,4.0,89.46,0,0,
ORD_0027803,CUST_00145,2023-08-22,2023-08-27,electronics,331.5,paypal,budget,DE,707,13,5,1,changed_mind,14.0,326.28,0,0,
ORD_0007683,CUST_00376,2023-08-17,2023-08-23,electronics,37.76,apple_pay,premium,US,1747,9,6,0,,,0.0,0,0,
ORD_0024280,CUST_01590,2022-06-15,2022-06-20,books,17.14,debit_card,regular,US,2155,16,5,0,,,0.0,0,0,
ORD_0033071,CUST_00717,2022-12-04,2022-12-09,clothing,39.41,paypal,premium,US,2522,8,5,0,,,0.0,1,0,
ORD_0035558,CUST_01645,2022-12-17,2022-12-27,sports,66.71,apple_pay,vip,CA,2317,10,10,0,,,0.0,0,0,
ORD_0037190,CUST_00130,2023-01-20,2023-01-25,books,45.85,credit_card,budget,AU,659,10,5,0,,,0.0,0,0,
ORD_0047150,CUST_01098,2024-05-31,2024-06-10,clothing,109.42,paypal,regular,DE,3344,13,10,0,,,0.0,0,0,
ORD_0046916,CUST_01408,2023-09-04,2023-09-13,sports,45.76,debit_card,vip,FR,1185,11,9,0,,,0.0,0,0,
ORD_0009802,CUST_00979,2022-01-11,2022-01-14,clothing,52.2,debit_card,premium,US,3378,13,3,0,,,0.0,2,0,
ORD_0038801,CUST_01212,2023-11-07,2023-11-17,clothing,56.04,apple_pay,regular,IN,2942,10,10,1,changed_mind,8.0,29.08,2,0,
ORD_0024670,CUST_00117,2023-01-20,2023-01-28,clothing,99.04,paypal,regular,DE,2216,17,8,0,,,0.0,2,0,
ORD_0044234,CUST_00315,2022-09-30,2022-10-13,electronics,270.78,apple_pay,regular,AU,3378,12,13,0,,,0.0,1,0,
ORD_0031920,CUST_00069,2024-06-06,2024-06-09,beauty,52.43,paypal,premium,US,3161,17,3,0,,,0.0,0,0,
ORD_0007135,CUST_00773,2022-03-12,2022-03-18,home,76.55,credit_card,regular,IN,2234,10,6,0,,,0.0,0,0,
ORD_0033705,CUST_01782,2023-11-17,2023-11-26,books,15.76,debit_card,regular,US,2909,8,9,0,,,0.0,1,0,
ORD_0029661,CUST_00448,2024-04-09,2024-04-10,home,57.49,debit_card,regular,US,703,18,1,0,,,0.0,0,0,
ORD_0017894,CUST_01174,2024-03-08,2024-03-16,clothing,32.87,paypal,budget,UK,3393,16,8,1,not_as_described,19.0,17.18,1,0,
ORD_0022019,CUST_01140,2022-08-11,2022-08-18,clothing,32.02,credit_card,budget,CA,1957,12,7,0,,,0.0,1,0,
ORD_0013539,CUST_01940,2023-09-14,2023-09-27,books,16.45,credit_card,premium,CA,2171,13,13,1,changed_mind,5.0,14.28,4,0,
ORD_0043119,CUST_01844,2024-12-18,2024-12-21,beauty,35.49,credit_card,regular,UK,1986,13,3,1,gift_return,20.0,29.01,1,0,
ORD_0036421,CUST_01406,2023-09-30,2023-10-08,beauty,67.17,credit_card,budget,CA,3492,11,8,0,,,0.0,1,0,
ORD_0009406,CUST_01496,2022-11-26,2022-12-07,electronics,513.71,paypal,vip,DE,147,13,11,0,,,0.0,1,0,
ORD_0013414,CUST_01034,2022-04-18,2022-04-23,beauty,30.68,credit_card,premium,AU,2098,16,5,0,,,0.0,0,0,
ORD_0006721,CUST_01249,2024-10-27,2024-10-28,clothing,53.34,credit_card,budget,IN,2124,16,1,0,,,0.0,0,0,
ORD_0015602,CUST_01887,2023-09-14,2023-09-19,home,21.06,credit_card,budget,AU,3434,12,5,1,wrong_size,6.0,12.11,0,0,
ORD_0044744,CUST_01751,2023-11-14,2023-11-27,home,192.99,paypal,premium,IN,1218,8,13,0,,,0.0,1,0,
ORD_0031139,CUST_00501,2024-04-09,2024-04-18,clothing,32.83,debit_card,premium,US,3129,11,9,1,defective,8.0,20.28,0,0,
ORD_0002730,CUST_01600,2022-07-24,2022-08-02,beauty,22.61,credit_card,regular,AU,1345,6,9,0,,,0.0,0,0,
ORD_0038243,CUST_00219,2023-09-27,2023-10-08,clothing,97.23,credit_card,budget,IN,2180,15,11,1,wrong_size,12.0,87.53,0,0,
ORD_0029626,CUST_00330,2022-09-06,2022-09-17,clothing,17.96,credit_card,regular,FR,3189,15,11,0,,,0.0,1,0,
ORD_0047895,CUST_00445,2024-04-20,2024-04-25,clothing,8.46,apple_pay,regular,DE,2474,12,5,0,,,0.0,0,0,
ORD_0042091,CUST_01111,2024-07-24,2024-08-06,electronics,184.75,apple_pay,vip,IN,3339,12,13,0,,,0.0,0,0,
ORD_0036400,CUST_00069,2024-11-13,2024-11-19,beauty,54.86,credit_card,premium,US,3161,17,6,0,,,0.0,1,0,
ORD_0006245,CUST_01412,2022-02-04,2022-02-10,electronics,100.96,apple_pay,vip,US,1746,12,6,0,,,0.0,0,0,
ORD_0005546,CUST_00981,2024-04-25,2024-05-01,electronics,196.2,paypal,regular,FR,2773,5,6,0,,,0.0,1,0,
ORD_0004065,CUST_01304,2024-02-15,2024-02-16,electronics,331.92,credit_card,premium,IN,706,11,1,0,,,0.0,1,0,
ORD_0012852,CUST_01500,2024-01-29,2024-02-08,clothing,63.46,credit_card,budget,US,1440,13,10,0,,,0.0,1,0,
ORD_0021803,CUST_01129,2024-01-28,2024-02-01,clothing,31.02,debit_card,regular,FR,1439,17,4,0,,,0.0,0,0,
ORD_0041164,CUST_01521,2023-02-19,2023-02-22,electronics,77.61,credit_card,budget,UK,2873,11,3,1,gift_return,23.0,66.24,1,0,
ORD_0006233,CUST_01402,2024-08-17,2024-08-29,clothing,86.02,credit_card,budget,UK,1025,16,12,0,,,0.0,0,0,
ORD_0003863,CUST_01206,2022-12-15,2022-12-21,sports,47.71,credit_card,premium,US,1796,9,6,0,,,0.0,0,0,
ORD_0035095,CUST_00183,2024-09-29,2024-10-11,clothing,38.22,debit_card,budget,FR,3162,15,12,1,gift_return,25.0,26.18,0,0,
ORD_0040196,CUST_01632,2023-12-04,2023-12-14,books,23.04,credit_card,budget,US,3461,9,10,1,not_as_described,4.0,18.58,0,0,
ORD_0039251,CUST_01250,2022-03-02,2022-03-13,clothing,96.72,debit_card,vip,IN,2364,10,11,0,,,0.0,0,0,
ORD_0006218,CUST_01134,2024-11-29,2024-12-12,clothing,60.85,credit_card,regular,FR,2684,18,13,0,,,0.0,0,0,
ORD_0036776,CUST_01362,2023-04-09,2023-04-17,electronics,98.45,credit_card,regular,US,2810,12,8,1,changed_mind,17.0,64.23,0,0,
ORD_0042977,CUST_00291,2022-05-26,2022-06-06,sports,117.47,credit_card,budget,UK,3252,14,11,1,changed_mind,13.0,90.39,0,0,
ORD_0048468,CUST_00062,2023-01-27,2023-02-02,clothing,46.25,debit_card,budget,US,1342,12,6,0,,,0.0,0,0,
ORD_0014832,CUST_01139,2024-08-10,2024-08-23,beauty,41.33,apple_pay,regular,AU,1233,8,13,0,,,0.0,0,0,
ORD_0030093,CUST_00426,2022-03-10,2022-03-18,home,88.54,debit_card,regular,UK,2229,11,8,0,,,0.0,0,0,
ORD_0008894,CUST_00636,2023-06-21,2023-07-04,home,63.27,apple_pay,regular,AU,2926,8,13,0,,,0.0,0,0,
ORD_0006021,CUST_00604,2023-04-12,2023-04-15,books,9.45,crypto,premium,AU,1524,4,3,0,,,0.0,2,0,
ORD_0046089,CUST_01979,2024-06-09,2024-06-19,home,77.94,paypal,regular,AU,1302,14,10,1,defective,19.0,68.93,2,0,
ORD_0015243,CUST_01768,2023-09-03,2023-09-08,clothing,42.91,credit_card,regular,IN,926,16,5,0,,,0.0,0,0,
ORD_0045308,CUST_00546,2024-05-08,2024-05-16,electronics,75.5,debit_card,regular,US,2079,14,8,1,changed_mind,19.0,40.72,0,0,
ORD_0026551,CUST_01304,2024-03-06,2024-03-08,home,67.44,paypal,premium,IN,706,11,2,0,,,0.0,2,0,
ORD_0006035,CUST_00664,2022-05-30,2022-06-06,clothing,102.91,credit_card,vip,CA,1452,10,7,0,,,0.0,0,0,
ORD_0007906,CUST_00728,2022-04-22,2022-05-04,electronics,628.09,debit_card,regular,US,517,15,12,0,,,0.0,0,0,
ORD_0032226,CUST_01640,2022-09-19,2022-09-21,clothing,66.79,credit_card,regular,DE,3245,16,2,0,,,0.0,1,0,
ORD_0006018,CUST_01548,2024-04-09,2024-04-18,books,15.04,credit_card,budget,US,3374,11,9,0,,,0.0,0,0,
ORD_0021880,CUST_00854,2024-01-05,2024-01-17,sports,296.5,credit_card,regular,US,3193,7,12,0,,,0.0,0,0,
ORD_0002792,CUST_01855,2022-12-23,2023-01-04,clothing,59.42,crypto,regular,IN,2867,10,12,1,defective,15.0,57.72,0,0,
ORD_0042606,CUST_00702,2024-09-20,2024-09-26,beauty,39.81,credit_card,regular,US,3027,10,6,0,,,0.0,0,0,
ORD_0005824,CUST_01766,2024-06-29,2024-07-02,beauty,59.45,credit_card,budget,DE,2308,10,3,1,not_as_described,23.0,30.79,1,0,
ORD_0015388,CUST_00383,2024-06-01,2024-06-11,books,29.1,credit_card,premium,IN,3539,7,10,1,wrong_size,15.0,20.1,0,0,
ORD_0029562,CUST_00553,2022-09-26,2022-09-27,electronics,299.39,credit_card,vip,UK,1429,13,1,0,,,0.0,0,0,
ORD_0039476,CUST_00029,2023-01-05,2023-01-15,beauty,21.87,credit_card,regular,FR,1352,14,10,0,,,0.0,1,0,
ORD_0000293,CUST_00128,2023-09-24,2023-10-04,books,8.61,credit_card,regular,US,2980,17,10,0,,,0.0,1,0,
ORD_0016958,CUST_00082,2024-07-26,2024-08-02,clothing,81.31,credit_card,regular,UK,1859,19,7,0,,,0.0,1,0,
ORD_0030861,CUST_01028,2023-03-11,2023-03-23,beauty,21.04,debit_card,regular,US,395,10,12,1,wrong_size,14.0,12.69,0,0,
ORD_0014074,CUST_00045,2023-05-18,2023-05-21,clothing,38.64,apple_pay,regular,CA,1754,15,3,1,changed_mind,22.0,36.98,1,0,
ORD_0021857,CUST_00992,2023-11-26,2023-12-05,electronics,315.67,debit_card,regular,AU,2465,17,9,0,,,0.0,0,0,
ORD_0022080,CUST_00125,2024-05-03,2024-05-16,electronics,199.1,paypal,budget,UK,545,9,13,0,,,0.0,1,0,
ORD_0017024,CUST_01007,2024-03-23,2024-03-24,books,13.89,credit_card,budget,US,2058,15,1,0,,,0.0,0,0,
ORD_0008740,CUST_01185,2022-04-19,2022-04-23,beauty,49.07,paypal,budget,US,3043,11,4,0,,,0.0,0,0,
ORD_0015826,CUST_01418,2023-03-03,2023-03-14,books,20.38,debit_card,regular,CA,3102,10,11,0,,,0.0,0,0,
ORD_0002742,CUST_00835,2023-01-31,2023-02-06,clothing,42.5,credit_card,regular,CA,3447,9,6,1,wrong_size,10.0,38.22,0,0,
ORD_0018049,CUST_00213,2023-06-20,2023-06-26,clothing,33.17,apple_pay,premium,US,2431,12,6,1,gift_return,14.0,29.6,0,0,
ORD_0049937,CUST_00792,2023-09-22,2023-10-02,clothing,46.65,paypal,regular,US,1133,12,10,0,,,0.0,1,0,
ORD_0017373,CUST_00613,2022-08-30,2022-09-01,electronics,67.86,apple_pay,regular,UK,2629,7,2,0,,,0.0,0,0,
ORD_0022022,CUST_01547,2024-08-31,2024-09-05,clothing,49.25,paypal,vip,IN,1480,4,5,0,,,0.0,0,0,
ORD_0046365,CUST_01073,2023-06-14,2023-06-25,clothing,41.83,credit_card,regular,CA,1360,16,11,0,,,0.0,0,0,
ORD_0023538,CUST_01891,2022-01-27,2022-02-03,beauty,38.95,credit_card,budget,UK,3241,20,7,1,wrong_size,16.0,35.18,0,0,
ORD_0045500,CUST_01849,2022-01-19,2022-01-25,home,69.09,paypal,premium,IN,364,9,6,0,,,0.0,1,0,
ORD_0040186,CUST_01353,2024-04-21,2024-04-29,electronics,202.33,apple_pay,regular,AU,2510,7,8,0,,,0.0,0,0,
ORD_0009614,CUST_01339,2022-06-23,2022-07-05,electronics,99.44,paypal,premium,UK,466,13,12,0,,,0.0,1,0,
ORD_0043282,CUST_00718,2023-11-09,2023-11-20,sports,16.08,paypal,regular,UK,844,14,11,1,defective,23.0,12.59,0,0,
ORD_0037892,CUST_01181,2024-04-12,2024-04-17,clothing,39.29,credit_card,premium,IN,3534,12,5,0,,,0.0,0,0,
ORD_0026179,CUST_01115,2023-10-01,2023-10-04,beauty,63.73,debit_card,budget,IN,916,20,3,0,,,0.0,0,0,
ORD_0045893,CUST_00279,2023-05-06,2023-05-07,electronics,123.18,credit_card,premium,US,529,10,1,0,,,0.0,0,0,
ORD_0020934,CUST_00035,2024-07-31,2024-08-12,beauty,43.86,credit_card,regular,US,1925,11,12,1,not_as_described,14.0,27.0,2,0,
ORD_0040972,CUST_00146,2023-06-09,2023-06-17,sports,103.14,apple_pay,budget,AU,1962,11,8,0,,,0.0,0,0,
